"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"caseD_3","004774e8","Instruction Label","switchD_00465928","Analysis","1","0"
"caseD_0","004774f8","Instruction Label","switchD_00466028","Analysis","1","0"
"caseD_1","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_2","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_3","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_4","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_5","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_6","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_7","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_8","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_9","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_a","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_b","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_c","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_d","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_e","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_f","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_10","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_11","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_12","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_13","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_14","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_15","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_16","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_17","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_18","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_19","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_1a","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_1b","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_1c","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_1e","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_1f","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_20","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"caseD_21","004774f8","Instruction Label","switchD_00466028","Analysis","0","0"
"switchD","00477aec","Instruction Label","switchD_00477aec","Analysis","0","0"
"caseD_7","00477b10","Instruction Label","switchD_004661f4","Analysis","1","0"
"default","00477b28","Instruction Label","switchD_00477aec","Analysis","1","0"
"caseD_6","00477bb8","Instruction Label","switchD_004665a4","Analysis","1","0"
"caseD_9","00477be4","Instruction Label","switchD_004661f4","Analysis","1","0"
"FUN_00477c24","00477c24","Function","Global","Default","1","0"
"caseD_7","00477cc8","Instruction Label","switchD_004665a4","Analysis","1","0"
"caseD_8","00477cf4","Instruction Label","switchD_004661f4","Analysis","1","0"
"caseD_a","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_b","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_c","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_d","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_e","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_f","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_10","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_11","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_12","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_13","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_14","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_15","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_16","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_17","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_18","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_19","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_1a","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_1b","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_1c","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_1d","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_1e","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_1f","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_20","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_21","00477cf4","Instruction Label","switchD_004661f4","Analysis","0","0"
"caseD_2","00477d7c","Function","switchD_004665a4","Analysis","0","0"
"caseD_3","00477d7c","Function","switchD_004665a4","Analysis","0","0"
"caseD_4","00477d7c","Function","switchD_004665a4","Analysis","0","0"
"caseD_5","00477d7c","Function","switchD_004665a4","Analysis","0","0"
"caseD_1","00477d7c","Function","switchD_004665a4","Analysis","1","0"
"caseD_8","00477d80","Instruction Label","switchD_004665a4","Analysis","1","0"
"caseD_a","00477d98","Instruction Label","switchD_004665a4","Analysis","1","0"
"caseD_7","00477dcc","Instruction Label","switchD_00466a98","Analysis","1","0"
"caseD_5","00477e60","Instruction Label","switchD_00466a98","Analysis","1","0"
"FUN_00477e64","00477e64","Function","Global","Default","4","0"
"caseD_6","00477ed0","Instruction Label","switchD_00466a98","Analysis","1","0"
"caseD_b","00477f14","Instruction Label","switchD_00466a98","Analysis","1","0"
"caseD_8","0047802c","Instruction Label","switchD_00466a98","Analysis","1","0"
"caseD_9","00478038","Instruction Label","switchD_00466a98","Analysis","1","0"
"caseD_a","00478044","Instruction Label","switchD_00466a98","Analysis","1","0"
"caseD_c","00478138","Instruction Label","switchD_00466a98","Analysis","1","0"
"caseD_d","004781c4","Instruction Label","switchD_00466a98","Analysis","1","0"
"FUN_004781d8","004781d8","Function","Global","Default","1","0"
"switchD","00478228","Instruction Label","switchD_00478228","Analysis","0","0"
"caseD_e","00478264","Instruction Label","switchD_00466a98","Analysis","1","0"
"FUN_00478440","00478440","Function","Global","Default","1","0"
"switchD","00478498","Instruction Label","switchD_00478498","Analysis","0","0"
"caseD_9","004785b4","Instruction Label","switchD_004665a4","Analysis","1","0"
"caseD_b","004785b4","Instruction Label","switchD_004665a4","Analysis","0","0"
"caseD_c","004785b4","Instruction Label","switchD_004665a4","Analysis","0","0"
"caseD_d","004785b4","Instruction Label","switchD_004665a4","Analysis","0","0"
"caseD_e","004785b4","Instruction Label","switchD_004665a4","Analysis","0","0"
